Exercise ID,Exercise Name,Main Category,Body Region,Movement Pattern,Primary Muscle,Secondary Muscles,Equipment,Setup / Angle,Grip / Stance,Laterality,Difficulty,Load Type,Track By,Primary Use,Progression Family,App Tags,Notes
EX-0105,Smith Machine Shoulder Press,Strength,Upper Push/Pull,Vertical Push,Shoulders,Triceps; Traps,Smith machine,Seated/standing,Standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
EX-0106,Machine Lateral Raise,Strength,Upper Push/Pull,Shoulder Isolation,Shoulders,Triceps; Traps,Machine,Seated,Pads,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
EX-0107,Rear Delt Pec Deck,Strength,Upper Push/Pull,Shoulder Isolation,Rear Delts,Triceps; Traps,Machine,Seated,Reverse fly,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
EX-0108,Machine Shrug,Strength,Upper Push/Pull,Shrug / Elevation,Shoulders,Triceps; Traps,Machine,Standing/seated,Handles,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Shoulder,shoulders;machine,
EX-0109,Pike Push-Up,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Floor,Pike,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0110,Decline Pike Push-Up,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Feet elevated,Pike,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0111,Wall Handstand Push-Up,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Wall,Inverted,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0112,Strict Handstand Push-Up,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Free/wall,Inverted,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0113,Wall Walk,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Wall,Inchworm to handstand,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0114,Handstand Hold,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Wall/free,Inverted hold,Bilateral,Advanced,Bodyweight,Sets x Hold Time,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0115,Planche Lean,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Floor/parallettes,Forward lean,Bilateral,Advanced,Bodyweight,Sets x Hold Time,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0116,Scapular Wall Slide,Calisthenics,Upper Push,Vertical Push / Shoulder Skill,Shoulders,Triceps; Core; Serratus,Bodyweight,Wall,Scapular,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Skill / Prehab,Bodyweight Shoulder,shoulders;bodyweight;skill,
EX-0117,Half-Kneeling Landmine Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Landmine,Half-kneeling,Single-arm,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0118,Standing Landmine Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Landmine,Standing,Single-arm,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0119,Landmine Shoulder-to-Shoulder Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Landmine,Standing,Arc,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0120,Viking Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Viking press / Landmine,Standing,Neutral,Unilateral-capable,Advanced,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0121,Kettlebell Strict Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Kettlebell,Standing,Rack position,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0122,Kettlebell Push Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Kettlebell,Standing,Rack position,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0123,Bottoms-Up Kettlebell Press,Strength,Upper Push,Vertical Push,Shoulders,Triceps; Core,Kettlebell,Standing,Bottoms-up,Unilateral-capable,Advanced,External Load,Sets x Reps x Load,Strength / Stability,Landmine/Kettlebell Press,shoulders;landmine;kettlebell,
EX-0124,EZ-Bar Skull Crusher,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,EZ-bar,Lying,Overhand,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0125,Barbell Skull Crusher,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Barbell,Lying,Overhand,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0126,Dumbbell Skull Crusher,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbells,Lying,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0127,Rolling Dumbbell Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbells,Lying,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0128,Overhead Dumbbell Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbell,Seated/standing,Two-hand,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0129,Single-Arm Overhead Dumbbell Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbell,Seated/standing,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0130,Dumbbell Triceps Kickback,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbells,Hinged,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0131,Tate Press,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Dumbbells,Lying,Elbows out,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0132,JM Press,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Barbell,Bench,Close grip,Bilateral,Advanced,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0133,Cable Triceps Pressdown,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High pulley,Straight bar,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0134,Rope Triceps Pressdown,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High pulley,Rope,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0135,Reverse-Grip Cable Pressdown,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High pulley,Underhand,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0136,Single-Arm Cable Pressdown,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High pulley,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0137,Overhead Cable Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High/low pulley,Rope,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0138,Cable Cross-Body Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Cable,High pulley,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0139,Machine Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Machine,Seated,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0140,Machine Dip,Strength,Upper Push,Vertical Push,Triceps,Chest; Shoulders,Machine,Seated,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0141,Bench Dip,Strength,Upper Push,Vertical Push,Triceps,Chest; Shoulders,Bench,Hands on bench,Bodyweight,Bilateral,Beginner,Bodyweight,Sets x Reps,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0142,Assisted Dip,Strength,Upper Push,Vertical Push,Triceps,Chest; Shoulders,Assisted dip machine,Upright,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0143,Band Triceps Pressdown,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Resistance band,High anchor,Band,Bilateral,Beginner,Band Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0144,Band Overhead Triceps Extension,Strength,Upper Push,Elbow Extension,Triceps,Chest; Shoulders,Resistance band,Low anchor,Band,Bilateral,Beginner,Band Load,Sets x Reps x Load,Hypertrophy / Strength,Triceps Extension,triceps;arms,
EX-0145,Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Pronated,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0146,Chin-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Supinated,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0147,Neutral-Grip Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Neutral,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0148,Wide-Grip Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Wide pronated,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0149,Close-Grip Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Close,Bilateral,Intermediate,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0150,Assisted Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Assisted pull-up machine / Band,Hanging,Any,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0151,Weighted Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Pull-up bar + belt,Hanging,Pronated,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0152,Weighted Chin-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Pull-up bar + belt,Hanging,Supinated,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0153,Commando Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Mixed neutral,Bilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0154,Scapular Pull-Up,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Bodyweight / Pull-up bar,Hanging,Scapular,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0155,Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated,Wide/standard,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0156,Wide-Grip Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated,Wide pronated,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0157,Close-Grip Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated,Close neutral,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0158,Neutral-Grip Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated,Neutral,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0159,Reverse-Grip Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated,Supinated,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0160,Single-Arm Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable / Pulldown machine,Seated/kneeling,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0161,Kneeling Cable Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable,Kneeling,Dual/single handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0162,Straight-Arm Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable,Standing,Straight bar/rope,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0163,Rope Straight-Arm Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Cable,Standing,Rope,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0164,Band Lat Pulldown,Strength,Upper Pull,Vertical Pull,Lats,Biceps; Mid Back; Rear Delts,Resistance band,Kneeling/seated,Band,Bilateral,Beginner,Band Load,Sets x Reps x Load,Strength / Hypertrophy,Vertical Pull,back;lats;pull,
EX-0165,Barbell Bent-Over Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell,Hinged,Pronated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0166,Pendlay Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell,Floor reset,Pronated,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0167,Yates Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell,Hinged high torso,Supinated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0168,Underhand Barbell Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell,Hinged,Supinated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0169,Chest-Supported Barbell Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell / Bench,Chest-supported,Pronated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0170,Seal Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Barbell / Bench,Prone elevated,Pronated,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0171,T-Bar Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,T-bar / Landmine,Hinged,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0172,Landmine Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Landmine,Hinged,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0173,Meadows Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Landmine,Hinged side-on,Single-arm,Unilateral-capable,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0174,Dumbbell Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbell,Bench-supported,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0175,Two-Dumbbell Bent-Over Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbells,Hinged,Neutral/pronated,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0176,Chest-Supported Dumbbell Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbells / Incline bench,Chest-supported,Neutral/pronated,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0177,Incline Dumbbell Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbells / Incline bench,Chest-supported,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0178,Dumbbell Renegade Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbells,Plank,Neutral,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0179,Kroc Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Dumbbell,Bench-supported,Single-arm heavy,Unilateral-capable,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0180,Seated Cable Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Cable,Seated,Close neutral,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0181,Wide-Grip Seated Cable Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Cable,Seated,Wide bar,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0182,Single-Arm Cable Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Cable,Seated/standing,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0183,Low Cable Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Cable,Seated,Low pulley,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0184,High Cable Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Cable,Seated/standing,High pulley,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0185,Machine Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Machine,Seated,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0186,Chest-Supported Machine Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Machine,Chest-supported,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0187,Plate-Loaded Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Plate-loaded machine,Seated,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0188,Machine High Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Machine,Seated,High handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0189,Machine Low Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Machine,Seated,Low handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0190,Inverted Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Bodyweight / Bar,Supine,Pronated,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0191,Ring Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Gymnastic rings,Suspended,Neutral,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0192,TRX Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Suspension trainer,Suspended,Neutral,Bilateral,Beginner,Bodyweight,Sets x Reps,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0193,Band Row,Strength,Upper Pull,Horizontal Pull,Mid Back / Lats,Biceps; Rear Delts; Traps,Resistance band,Standing/seated,Band,Bilateral,Beginner,Band Load,Sets x Reps x Load,Strength / Hypertrophy,Horizontal Row,back;row;pull,
EX-0194,Machine Pullover,Strength,Upper Pull,Pullover,Lats,Chest; Triceps Long Head,Machine,Seated,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0195,Dumbbell Pullover for Lats,Strength,Upper Pull,Pullover,Lats,Chest; Triceps Long Head,Dumbbell,Bench,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0196,Back Extension,Strength,Upper Pull,Spinal Extension / Hinge,Lower Back / Glutes,Hamstrings,Back extension bench,45-degree/horizontal,Bodyweight/load,Bilateral,Beginner,Bodyweight,Sets x Reps,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0197,Weighted Back Extension,Strength,Upper Pull,Spinal Extension / Hinge,Lower Back / Glutes,Hamstrings,Back extension bench,45-degree/horizontal,Plate/dumbbell,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0198,Reverse Hyperextension,Strength,Upper Pull,Spinal Extension / Hinge,Lower Back / Glutes,Hamstrings,Reverse hyper machine,Prone,Machine,Bilateral,Beginner,External Load,Sets x Reps,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0199,Bird Dog Row,Strength,Upper Pull,Horizontal Pull + Anti-Rotation,Mid Back / Core,Lats; Core,Dumbbell,Quadruped bench,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Back Accessory,back;lats;lowerback,
EX-0200,Barbell Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Barbell,Standing,Supinated,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0201,EZ-Bar Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,EZ-bar,Standing,Semi-supinated,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0202,Close-Grip EZ-Bar Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,EZ-bar,Standing,Close,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0203,Wide-Grip EZ-Bar Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,EZ-bar,Standing,Wide,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0204,Preacher Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,EZ-bar / Machine,Preacher bench,Supinated,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0205,Barbell Preacher Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Barbell,Preacher bench,Supinated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0206,Spider Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Barbell / EZ-bar,Incline prone,Supinated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0207,Drag Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Barbell,Standing,Supinated,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0208,Reverse Curl,Strength,Arms,Elbow Flexion,Brachialis / Forearms,Biceps; Forearms,Barbell / EZ-bar,Standing,Pronated,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0209,Dumbbell Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbells,Standing/seated,Supinated,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
