food_id,food_code,duplicate_code_sequence,source_row_index,food_name,description,group_code,previous_code,main_data_references,footnote,water_g_per_100g,energy_kcal_per_100g,energy_kj_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,starch_g_per_100g,sugars_g_per_100g,glucose_g_per_100g,fructose_g_per_100g,sucrose_g_per_100g,lactose_g_per_100g,alcohol_g_per_100g,fibre_nsp_g_per_100g,fibre_aoac_g_per_100g,fibre_g_per_100g,saturated_fat_g_per_100g,monounsaturated_fat_g_per_100g,polyunsaturated_fat_g_per_100g,trans_fat_g_per_100g,cholesterol_mg_per_100g,sodium_mg_per_100g,salt_g_per_100g,potassium_mg_per_100g,calcium_mg_per_100g,magnesium_mg_per_100g,phosphorus_mg_per_100g,iron_mg_per_100g,copper_mg_per_100g,zinc_mg_per_100g,selenium_ug_per_100g,iodine_ug_per_100g,vitamin_a_retinol_ug_per_100g,vitamin_d_ug_per_100g,vitamin_e_mg_per_100g,vitamin_k1_ug_per_100g,thiamin_mg_per_100g,riboflavin_mg_per_100g,niacin_mg_per_100g,vitamin_b6_mg_per_100g,vitamin_b12_ug_per_100g,folate_ug_per_100g,vitamin_c_mg_per_100g
11-994,11-994,1,897,"Crumble, fruit, wholemeal, homemade","Apple, gooseberry, plum, rhubarb recipe.",AS,11-595,As MW6. Recalculated in 2013,,54.2,198.0,834.0,2.5,7.3,32.7,11.4,21.3,1.3,1.6,18.2,0.0,0.0,2.6,,2.6,4.37,1.77,0.39,0.24,17.7,63.0,0.1575,200.0,31.0,19.0,62.0,0.63,0.12,0.4,1.0,3.0,80.0,0.1,0.51,,0.06,0.03,1.0,0.08,0.0,3.0,5.0
15-729,15-729,1,898,"Crumble, vegetable, with tinned tomatoes, homemade","Recipe, containing cauliflower, onions, carrots, courgettes, tomatoes, flour and fat spread",DR,15-449,Updated 2014,,65.1,174.0,730.0,3.1,9.6,20.1,14.8,4.9,1.9,1.8,1.1,0.0,,1.8,,1.8,2.31,4.68,2.04,0.01,0.8,69.0,0.1725,288.0,38.0,17.0,48.0,0.95,0.09,0.3,1.0,,,,,,0.15,0.05,0.9,0.13,0.0,14.0,9.0
15-730,15-730,1,899,"Crumble, vegetable, with tinned tomatoes, wholemeal, homemade","Recipe, containing cauliflower, onions, carrots, courgettes, tomatoes, flour and fat spread",DR,15-450,Updated 2014,,65.0,170.0,709.0,3.6,9.7,18.1,12.6,5.0,1.9,1.8,1.2,0.0,,2.8,,2.8,2.28,4.67,2.16,0.01,0.8,69.0,0.1725,322.0,26.0,28.0,79.0,1.05,0.13,0.5,1.0,,,,,,0.16,0.06,1.5,0.18,0.0,14.0,9.0
15-727,15-727,1,900,"Crumble, vegetable, with white sauce, homemade","Recipe, containing cauliflower, sweetcorn, parlsey, cheese, flour, oil, fat spread and water",DR,15-447,Updated 2014,,66.3,165.0,692.0,4.9,7.9,19.6,15.3,4.0,0.4,0.4,1.9,1.3,,1.7,1.9,1.9,2.7,3.26,1.36,0.09,6.4,82.0,0.205,187.0,89.0,15.0,91.0,0.6,0.05,0.6,1.0,,,,,,0.11,0.12,0.8,0.1,0.3,18.0,12.0
15-728,15-728,1,901,"Crumble, vegetable, with white sauce, wholemeal, homemade","Recipe, containing cauliflower, sweetcorn, parlsey, cheese, flour, oil, fat spread and water",DR,,Updated 2014,,64.7,171.0,719.0,5.4,7.9,20.8,15.8,4.6,0.5,0.5,2.3,1.3,,2.4,,2.4,2.66,3.23,1.43,0.09,6.4,148.0,0.37,234.0,78.0,27.0,126.0,0.73,0.07,0.8,2.0,,,,,,0.08,0.12,1.3,0.14,0.3,16.0,10.0
11-1057,11-1057,1,902,"Crumble, with pie filling, homemade",Recipe,AS,11-693,Based on recipe as Cereals and Cereal Products Supplement. Recalculated in 2014,,55.1,207.0,872.0,1.9,6.6,37.2,17.8,19.4,3.6,3.8,11.9,0.0,,1.3,0.7,0.7,,,,0.01,0.9,96.0,0.24,91.0,39.0,8.0,31.0,1.05,0.05,0.1,1.0,,,,,0.13,0.04,0.02,0.4,,0.0,2.0,4.0
11-989,11-989,1,903,"Crumpets, toasted",9 samples,AP,11-535,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,40.3,207.0,881.0,6.9,1.0,45.4,42.3,3.1,1.1,0.3,0.0,0.0,0.0,2.0,3.1,3.1,0.1,0.1,0.5,0.0,0.0,1029.0,2.5725,168.0,123.0,17.0,220.0,1.44,0.1,0.6,6.0,1.0,0.0,0.0,0.26,,0.23,0.06,1.7,0.07,0.0,9.0,0.0
13-523,13-523,1,904,"Cucumber, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported",DG,13-233,"DH, Nutrient analysis of fruit and vegetables, 2013",,96.5,14.0,60.0,1.0,0.6,1.2,0.0,1.2,0.5,0.7,0.0,0.0,0.0,0.7,0.7,0.7,,,,0.0,0.0,4.0,0.01,156.0,21.0,10.0,23.0,0.3,0.03,0.1,0.0,3.0,0.0,0.0,0.04,20.9,0.03,0.02,0.2,0.01,0.0,14.0,2.0
13-889,13-889,1,905,Cumin seeds,Literature sources,H,13-820,"USDA SR26, 2013",,8.1,,,17.8,22.3,,,2.3,,,,0.0,0.0,,10.5,10.5,1.54,14.04,3.28,0.0,0.0,168.0,0.42,1790.0,931.0,366.0,499.0,66.36,0.87,4.8,,,0.0,0.0,3.33,5.4,0.63,0.33,4.6,0.44,0.0,10.0,8.0
13-649,13-649,1,906,"Curly kale, boiled in unsalted water","11 samples, UK, fresh. Larger stems and tough ribs removed, boiled for 3-9 minutes",DG,13-541,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,88.4,26.0,110.0,2.7,1.3,1.0,0.1,0.9,0.5,0.4,0.0,0.0,0.0,2.8,3.5,3.5,0.24,0.12,0.71,0.0,0.0,6.0,0.015,229.0,231.0,13.0,46.0,1.11,0.03,0.2,2.0,2.0,0.0,0.0,2.69,,0.0,0.03,0.4,0.09,0.0,97.0,25.0
13-234,13-234,1,907,"Curly kale, raw",Main ribs and stalks removed,DG,50-768,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,88.4,33.0,140.0,3.4,1.6,1.4,0.1,1.3,0.6,0.6,0.1,0.0,0.0,3.1,,3.1,0.2,0.1,0.9,0.0,0.0,43.0,0.1075,450.0,130.0,34.0,61.0,1.7,0.03,0.4,2.0,,0.0,0.0,1.7,623.0,0.08,0.09,1.0,0.26,0.0,120.0,110.0
11-1009,11-1009,1,908,"Currant buns, retail","9 samples, 5 supermarkets, 3 bakeries",AF,11-536,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,27.9,280.0,1185.0,8.0,5.6,52.6,36.6,16.0,8.2,7.0,0.0,0.0,0.0,2.2,2.9,2.9,1.86,1.97,1.2,0.0,1.5,230.0,0.575,210.0,110.0,27.0,100.0,1.9,0.18,0.6,,,0.0,0.0,0.37,,0.22,0.16,2.1,0.11,0.0,12.0,1.0
11-948,11-948,1,909,"Currant buns, toasted",Calculated using a weight loss of 10%,AP,,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,19.9,311.0,1316.0,8.9,6.2,58.4,40.7,17.8,9.1,7.8,0.0,0.0,0.0,2.4,3.2,3.2,2.07,2.19,1.33,0.0,1.7,260.0,0.65,233.0,122.0,30.0,111.0,2.11,0.2,0.7,,,0.0,0.0,0.41,,0.24,0.18,2.3,0.12,0.0,13.0,1.0
14-074,14-074,1,910,Currants,"10 samples, 9 brands",FA,50-883,"LGC, Nutritional composition of fruit products, 1985-1986",,15.7,267.0,1139.0,2.3,0.4,67.8,0.0,67.8,34.4,33.3,0.0,0.0,0.0,1.9,,1.9,,,,0.0,0.0,14.0,0.035,720.0,93.0,30.0,71.0,1.3,0.81,0.3,,,0.0,0.0,,,0.16,0.05,0.9,0.23,0.0,4.0,0.0
13-821,13-821,1,911,"Curry leaves, fresh",Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition, and Wu Leung et al. (1972) Food composition table for use in East Asia",,68.4,97.0,409.0,7.9,1.3,13.3,,,,,,0.0,,,,,,,,,0.0,,,,820.0,220.0,57.0,5.1,0.21,,,,0.0,0.0,,,0.08,0.21,2.3,,0.0,94.0,8.0
17-720,17-720,1,912,Curry paste,"20 samples, 3 brands",WC,17-297,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,49.9,253.0,1049.0,4.7,21.3,11.3,4.3,7.0,,,,0.0,0.0,,6.8,6.8,,,,,0.0,1520.0,3.8,520.0,150.0,75.0,110.0,12.8,0.29,0.8,,,0.0,0.0,,,0.09,0.13,1.8,,0.0,,0.0
13-876,13-876,1,913,Curry powder,2 retail samples,H,13-822,"Vegetables, Herbs and Spices Supplement, 1991. Water soluble vitamins from USDA SR26, 2013",,8.5,233.0,979.0,9.5,10.8,26.1,,,,,,0.0,0.0,23.0,,23.0,,,,0.0,0.0,450.0,1.125,1830.0,640.0,280.0,270.0,58.3,1.04,4.1,,,0.0,0.0,,,0.25,0.28,3.5,0.1,0.0,56.0,1.0
13-823,13-823,1,914,"Curry powder, mixed flavours","Homemade, literature sources",H,,"Wharton et al. (1983) Sorrento Asian food tables: food tables, recipes and customs of mothers attending Sorrento Maternity Hospital, Birmingham, England",,9.0,316.0,1325.0,13.0,13.9,34.7,,,,,,0.0,,,,,,,,,0.0,400.0,1.0,1880.0,460.0,240.0,330.0,32.3,,3.7,,,0.0,0.0,,,0.4,0.78,7.3,,0.0,0.0,0.0
15-731,15-731,1,915,"Curry, almond, homemade",Recipe,DR,15-451,Updated 2014,,50.0,328.0,1354.0,5.7,33.4,3.3,2.0,1.1,0.1,0.1,0.8,0.0,0.0,1.9,,1.9,14.15,13.3,3.16,0.48,55.8,51.0,0.1275,330.0,91.0,72.0,145.0,3.91,0.25,1.0,1.0,,209.0,0.2,5.78,,0.08,0.17,1.0,0.07,0.0,12.0,6.0
19-547,19-547,1,916,"Curry, beef and spinach, homemade",Recipe,MR,19-369,Updated 2014,,76.5,94.0,394.0,11.4,4.4,3.6,0.4,2.8,1.2,1.1,0.4,0.0,,0.8,,0.8,1.28,2.1,0.65,0.09,30.7,36.0,0.09,355.0,52.0,27.0,110.0,3.02,0.1,2.7,4.0,8.0,0.0,0.3,1.11,134.35,0.11,0.13,2.1,0.23,0.7,15.0,6.0
19-549,19-549,1,917,"Curry, beef, homemade",Recipe,MR,19-370,Updated 2014,,63.5,209.0,870.0,17.7,15.4,1.2,0.2,0.6,0.2,0.2,0.2,0.0,,0.1,,0.1,2.61,8.37,3.34,0.16,49.7,57.0,0.1425,318.0,25.0,26.0,164.0,1.95,0.03,4.9,6.0,14.0,0.0,0.4,2.41,,0.06,0.19,2.8,0.3,1.3,20.0,1.0
19-472,19-472,1,918,"Curry, beef, reduced fat, homemade",Recipe,MR,19-333,Updated 2013,,70.5,139.0,583.0,18.8,7.1,1.3,0.2,0.7,0.3,0.2,0.2,0.0,0.0,0.1,1.0,1.0,2.26,2.71,1.53,0.17,52.7,64.0,0.16,338.0,27.0,27.0,174.0,2.08,0.04,5.2,6.0,14.0,0.0,0.4,0.99,,0.07,0.2,3.0,0.32,1.3,22.0,1.0
19-488,19-488,1,919,"Curry, beef, retail, reheated","6 samples, 3 brands, meat and sauce only, chilled and frozen",MR,19-169,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,69.5,137.0,575.0,13.5,6.6,6.3,1.8,4.5,1.5,1.6,0.7,0.7,0.0,1.2,2.4,2.4,3.1,2.5,0.6,,32.0,190.0,0.475,340.0,,,,,,,,,0.0,,0.62,,0.05,0.16,2.4,0.2,,,0.0
19-529,19-529,1,920,"Curry, beef, retail, reheated, with rice","Calculated from 57% beef curry (19-169) and 43% retail, ready cooked, plain white rice",MR,19-170,"LGC, Analytical survey of meat products, 1990-1991; industry data, 2013; and LGC, Nutrient survey of flours and grains, 2005",,65.2,147.0,621.0,9.5,4.6,18.2,15.6,2.6,0.9,0.9,0.4,0.4,0.0,0.7,1.8,1.8,1.9,1.58,0.72,,18.2,173.0,0.4325,216.0,,,,,,,,,0.0,,0.51,,0.06,0.09,2.4,0.15,,,0.0
15-627,15-627,1,921,"Curry, bhindi subji, homemade","6 samples, containing okra, onions, tomatoes and spices",DR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,74.3,71.0,298.0,2.9,4.6,4.9,0.6,4.4,1.8,1.5,1.1,0.0,0.0,3.4,7.2,7.2,0.4,2.18,1.75,0.0,3.9,437.0,1.0925,372.0,108.0,56.0,78.0,0.78,0.13,0.6,3.0,,0.0,0.0,4.1,,0.67,0.14,0.4,0.0,0.0,25.0,0.0
15-735,15-735,1,922,"Curry, black gram, whole and red kidney bean, homemade",Recipe,DR,15-456,Updated 2014,,77.4,94.0,394.0,4.5,5.0,8.4,6.3,1.2,0.4,0.3,0.5,0.0,,,,,0.36,2.78,1.52,0.0,0.0,26.0,0.065,215.0,36.0,32.0,74.0,1.61,0.15,0.6,,1.0,0.0,0.0,,,0.09,0.06,0.4,0.04,0.0,12.0,2.0
15-736,15-736,1,923,"Curry, black gram, whole, Bengali, homemade",Recipe. Thin consistency,DR,15-455,Updated 2014,,80.2,76.0,318.0,4.4,2.8,8.5,6.3,1.6,0.3,0.3,1.0,0.0,0.0,,,,1.62,0.67,0.21,0.09,6.5,33.0,0.0825,173.0,31.0,29.0,68.0,1.2,0.13,0.5,,,29.0,0.0,,,0.07,0.06,0.4,,0.0,13.0,1.0
15-737,15-737,1,924,"Curry, black gram, whole, Gujerati, homemade","Recipe, thick consistency",DR,15-455,Updated 2014,,61.1,154.0,645.0,8.4,6.7,15.3,11.7,2.5,0.9,0.9,0.7,0.0,,,,,3.96,1.62,0.46,0.21,15.9,71.0,0.1775,387.0,61.0,58.0,132.0,2.41,0.28,1.0,,,71.0,0.1,,,0.19,0.11,0.8,,0.0,24.0,4.0
15-738,15-738,1,925,"Curry, black-eye bean, homemade","Recipe, Gujerati dish.",DR,15-457,Updated 2014,,65.0,139.0,588.0,8.1,4.4,18.4,16.1,1.0,0.1,0.1,0.8,0.0,,2.8,,2.8,0.44,2.26,1.38,0.0,0.0,23.0,0.0575,422.0,30.0,49.0,142.0,2.83,0.26,1.1,2.0,,0.0,0.0,,,0.24,0.06,0.6,0.1,0.0,106.0,1.0
15-095,15-095,1,926,"Curry, black-eye bean, Punjabi, homemade",Recipe from dietary survey records,DR,,As Vegetable Dishes Supplement 1992,,72.9,111.0,469.0,6.0,4.0,13.7,12.0,1.1,0.2,0.1,0.7,0.0,,2.4,,2.4,2.5,0.9,0.3,,9.0,,,240.0,16.0,30.0,97.0,1.3,0.15,0.8,2.0,,35.0,0.0,0.16,,0.14,0.03,0.4,0.08,0.0,140.0,1.0
15-739,15-739,1,927,"Curry, Bombay potato, homemade","Recipe. Potato, tomato and spices",DR,15-458,Updated 2014,,74.4,118.0,492.0,1.8,6.7,13.8,12.6,1.2,0.5,0.4,0.3,0.0,,1.2,1.9,1.9,0.48,3.91,1.93,0.0,0.0,16.0,0.04,417.0,16.0,22.0,39.0,0.96,0.07,0.3,0.0,4.0,0.0,0.0,1.55,,0.14,0.01,0.4,0.29,0.0,8.0,8.0
15-740,15-740,1,928,"Curry, cabbage, masala, homemade",Recipe. White cabbage in masala sauce,DR,15-459,Updated 2014,,80.6,83.0,344.0,1.7,4.9,8.1,1.5,6.4,2.9,2.6,0.8,0.0,,2.2,3.2,3.2,0.33,2.82,1.51,0.0,0.0,25.0,0.0625,312.0,52.0,17.0,35.0,0.66,0.07,0.2,1.0,4.0,0.0,0.0,1.61,,0.2,0.03,0.6,0.14,0.0,32.0,19.0
15-741,15-741,1,929,"Curry, cauliflower and potato, homemade","Recipe, Gujerati dish. Cauliflower, potato, tomato and onion.",DR,15-460,Updated 2014,,85.2,60.0,251.0,2.6,2.0,6.7,3.8,2.7,1.3,1.1,0.6,0.0,,1.8,2.1,2.1,0.19,0.96,0.65,0.0,0.0,13.0,0.0325,333.0,19.0,17.0,41.0,0.6,0.05,0.3,1.0,1.0,0.0,0.0,0.56,,0.09,0.06,0.6,0.26,0.0,24.0,24.0
15-742,15-742,1,930,"Curry, chick pea dahl and spinach, with butter, homemade",Recipe. Split chick peas,DR,15-461,Updated 2014,,64.4,182.0,757.0,6.4,12.0,12.9,11.0,0.9,0.1,0.1,0.7,0.1,,,,,6.69,2.92,1.16,0.36,26.8,135.0,0.3375,326.0,60.0,39.0,95.0,2.21,0.27,1.1,1.0,,120.0,0.1,1.38,,0.1,0.07,0.6,0.12,0.0,43.0,3.0
15-743,15-743,1,931,"Curry, chick pea dahl and spinach, with vegetable oil, homemade",Recipe. Split chick peas,DR,15-462,Updated 2014,,62.5,201.0,837.0,6.3,14.2,12.8,11.0,0.9,0.1,0.1,0.7,0.0,,,,,0.98,7.74,4.48,0.0,0.0,44.0,0.11,322.0,58.0,39.0,93.0,2.23,0.27,1.1,1.0,,0.0,0.0,3.94,,0.1,0.06,0.6,0.12,0.0,43.0,3.0
15-641,15-641,1,932,"Curry, chick pea dhal, homemade",Punjabi dish. Split chick peas and tomato. Recipe from dietary survey records,DR,15-371,Updated 2013,,64.1,152.0,639.0,7.9,6.1,17.8,14.6,1.9,0.4,0.5,1.0,0.0,0.0,,,,0.68,1.23,3.57,0.0,0.0,32.0,0.08,390.0,24.0,40.0,118.0,1.99,0.36,1.3,1.0,,0.0,0.0,3.1,,0.12,0.07,0.7,0.17,0.0,32.0,2.0
15-748,15-748,1,933,"Curry, chick pea, UK type, homemade",Recipe,DR,15-464,Updated 2014,,71.5,109.0,458.0,5.9,3.5,14.3,10.8,2.7,0.9,0.9,0.9,0.0,,3.3,,3.3,0.28,1.51,1.27,0.0,0.0,12.0,0.03,290.0,42.0,30.0,68.0,1.81,0.21,0.9,1.0,,0.0,0.0,1.44,,0.11,0.06,0.7,0.14,0.0,47.0,4.0
15-745,15-745,1,934,"Curry, chick pea, whole and potato, homemade",Recipe. Gujerati dish containing natural yogurt.,DR,15-465,Updated 2014,,72.3,119.0,500.0,5.9,5.4,12.6,10.2,2.1,0.0,0.1,0.5,0.9,,2.4,,2.4,0.72,2.56,1.66,0.02,2.0,17.0,0.0425,220.0,61.0,24.0,81.0,1.18,0.15,0.8,1.0,,5.0,0.0,1.42,,0.09,0.09,0.5,0.25,0.0,41.0,1.0
15-746,15-746,1,935,"Curry, chick pea, whole and tomato, Gujerati, with butter ghee, homemade","Recipe. Large white chick peas, tomato and onion.",DR,15-466,Updated 2014,,51.3,237.0,991.0,7.7,14.4,20.1,14.8,3.8,0.8,0.9,2.0,0.0,,4.2,,4.2,7.63,3.66,1.53,0.27,31.3,15.0,0.0375,465.0,66.0,51.0,121.0,2.25,0.34,1.1,1.0,,117.0,0.1,1.94,,0.13,0.07,0.8,0.21,0.0,36.0,6.0
15-747,15-747,1,936,"Curry, chick pea, whole and tomato, Gujerati, with vegetable oil, homemade","Recipe. Large white chick peas, tomato and onion.",DR,15-467,Updated 2014,,51.2,238.0,992.0,7.7,14.7,20.1,14.8,3.8,0.8,0.9,2.0,0.0,,4.2,,4.2,1.03,7.93,4.68,0.0,0.0,15.0,0.0375,465.0,66.0,51.0,121.0,2.27,0.34,1.1,1.0,,0.0,0.0,4.03,,0.13,0.07,0.8,0.21,0.0,36.0,6.0
15-107,15-107,1,937,"Curry, chick pea, whole and tomato, Punjabi, with butter, homemade","Chick peas, onion and tomato. Recipe from dietary survey records",DR,,As Vegetable Dishes Supplement 1992,,73.6,107.0,450.0,5.6,4.3,12.4,10.8,1.1,0.2,0.2,0.7,0.0,,2.9,,2.9,2.0,1.0,0.8,,8.0,,,210.0,32.0,25.0,58.0,1.4,0.19,0.8,1.0,,28.0,0.0,0.89,,0.08,0.05,0.6,0.11,0.0,36.0,1.0
15-108,15-108,1,938,"Curry, chick pea, whole and tomato, Punjabi, with vegetable oil, homemade","Chick peas, onion and tomato. Recipe from dietary survey records",DR,,As Vegetable Dishes Supplement 1992,,73.1,112.0,473.0,5.6,4.9,12.4,10.8,1.1,0.2,0.2,0.7,0.0,,2.9,,2.9,0.5,1.5,2.3,,0.0,,,210.0,32.0,25.0,57.0,1.4,0.19,0.8,1.0,,0.0,0.0,1.66,,0.08,0.05,0.6,0.11,0.0,36.0,1.0
15-744,15-744,1,939,"Curry, chick pea, whole, Gujerati type, homemade","Recipe,",DR,15-463,Updated 2014,,53.3,183.0,771.0,9.7,7.6,21.8,19.2,1.2,0.0,0.1,1.1,0.0,,4.7,,4.7,0.59,3.57,2.67,0.0,0.0,43.0,0.1075,501.0,89.0,65.0,147.0,3.96,0.44,1.4,1.0,,0.0,0.0,2.35,,0.15,0.09,0.8,0.19,0.0,39.0,2.0
19-449,19-449,1,940,"Curry, chicken balti, retail","10 samples, chilled, frozen and ambient",MR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK; and industry data, 2013",,75.8,105.0,441.0,10.5,5.0,4.8,1.3,3.5,,,,0.0,0.0,,2.0,2.0,0.89,2.4,1.4,0.01,28.6,258.0,0.645,333.0,39.0,26.0,105.0,0.9,0.12,0.5,7.0,,,,2.37,,0.04,0.14,3.3,0.14,0.1,14.0,3.0
19-565,19-565,1,941,"Curry, chicken korma, homemade",Recipe,MR,19-383,Updated 2014,,73.6,127.0,530.0,14.6,5.1,4.6,1.4,2.8,0.4,0.3,0.4,1.7,,0.4,0.7,0.7,1.15,2.54,1.09,0.03,53.1,68.0,0.17,337.0,63.0,26.0,142.0,0.89,0.05,1.0,8.0,16.0,13.0,0.1,0.88,,0.1,0.17,3.7,0.23,0.3,10.0,1.0
19-540,19-540,1,942,"Curry, chicken tandoori, retail, reheated","7 samples, 6 brands. 95-96% meat",MR,19-127,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,56.4,214.0,897.0,27.4,10.8,2.0,1.0,1.0,0.3,0.2,0.1,0.5,0.0,,0.8,0.8,3.3,5.0,2.0,0.07,120.0,,,470.0,58.0,36.0,280.0,1.8,0.12,1.5,16.0,7.0,0.0,0.2,1.49,,0.12,0.19,10.2,0.61,1.0,16.0,2.0
19-296,19-296,1,943,"Curry, chicken tikka masala, retail, reheated","11 samples, 11 products, chilled and frozen",MIG,341,"LGC, Nutrient analysis of foods important in elderly people, 1994; and industry data, 2013",,69.2,156.0,652.0,12.4,9.8,4.9,1.3,3.6,0.7,0.9,0.8,1.2,0.0,1.0,1.4,1.4,3.3,4.02,2.05,0.29,46.2,220.0,0.55,310.0,60.0,25.0,140.0,1.3,0.1,0.7,7.0,7.0,49.0,0.3,1.57,,0.08,0.14,4.2,0.29,0.5,21.0,0.0
19-567,19-567,1,944,"Curry, chicken vindaloo, homemade",Recipe,MR,19-387,Updated 2014,,62.7,192.0,799.0,18.5,12.5,2.6,0.3,1.7,0.4,0.3,1.0,0.0,,0.3,0.7,0.7,1.19,7.16,3.48,0.0,70.5,65.0,0.1625,405.0,38.0,35.0,151.0,2.24,0.08,1.2,10.0,7.0,9.0,0.1,2.46,,0.12,0.13,5.1,0.27,0.0,9.0,2.0
19-568,19-568,1,945,"Curry, chicken vindaloo, reduced fat, homemade",Recipe,MR,19-388,Updated 2014,,57.5,121.0,509.0,19.6,4.1,2.7,0.4,1.8,0.4,0.3,1.0,0.0,,0.3,,0.3,0.42,1.4,0.65,0.0,74.6,68.0,0.17,429.0,40.0,38.0,160.0,2.37,0.09,1.2,7.0,6.0,9.0,0.1,0.37,,0.13,0.14,5.4,0.29,0.0,10.0,2.0
19-520,19-520,1,946,"Curry, chicken, average, retail, reheated","7 samples, 5 brands; korma and masala varieties, chilled and frozen",MR,,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,68.7,149.0,621.0,12.1,8.9,5.4,1.0,4.4,1.5,1.6,0.7,0.7,0.0,1.3,1.5,1.5,4.0,2.9,1.5,,51.0,240.0,0.6,300.0,,,,,,,,,,,1.3,,0.2,0.14,3.8,0.24,,,1.0
19-528,19-528,1,947,"Curry, chicken, average, retail, reheated with rice","Calculated from 55% chicken curry (19-188) and 45% retail, ready cooked, plain white rice",MR,19-189,"LGC, Analytical survey of meat products, 1990-1991; industry data, 2013; and LGC, Nutrient survey of flours and grains, 2005",,64.6,154.0,648.0,8.5,5.8,18.2,15.8,2.4,0.8,0.9,0.4,0.4,0.0,0.7,1.3,1.3,2.34,1.76,1.22,,28.0,200.0,0.5,188.0,,,,,,,,,,,0.88,,0.15,0.08,3.1,0.17,,,1.0
19-322,19-322,1,948,"Curry, chicken, average, takeaway","50 samples, 10 each of Korma, Tikka Masala, Dhansak, Jalfrezi and Dopiaza. Meat and sauce only",MR,19-300,"Reviewed 2013. Aspland and James Ltd, Nutrient analysis of ethnic and takeaway foods, 1997. Full fatty acid data for chicken korma is available in 19-300",,70.2,145.0,603.0,11.7,9.8,2.5,1.2,1.2,0.4,0.5,0.0,0.3,0.0,2.0,2.2,2.2,2.87,3.98,2.52,0.05,37.0,356.0,0.89,218.0,41.0,22.0,112.0,2.32,0.08,0.6,7.0,7.0,15.0,0.3,2.12,,0.05,0.07,2.5,0.19,0.0,,0.0
19-534,19-534,1,949,"Curry, chicken, made with cook-in sauce",Recipe,MR,,Updated 2013,,67.7,144.0,604.0,18.6,5.4,5.5,1.6,3.9,1.2,1.4,1.3,0.0,0.0,0.9,1.5,1.5,1.0,1.92,2.21,0.02,,246.0,0.615,448.0,25.0,32.0,147.0,1.19,0.08,1.1,11.0,6.0,9.0,0.1,2.4,,0.11,0.13,5.5,0.29,0.0,14.0,2.0
19-465,19-465,1,950,"Curry, chicken, Thai green, takeaway and restaurant","10 sub-samples, 2 from different establishments in each of 5 regions. Dish consists of chicken that has been stir fried in a standard Thai green curry sauce (usually includes coconut milk, lemongrass, ginger and peppers)",MR,,"Reviewed 2013. Aspland and James Ltd, Nutrient analysis of ethnic takeaway foods, 1997",,74.7,119.0,496.0,8.8,8.7,1.5,1.0,0.5,0.0,0.5,0.0,0.0,,2.4,2.6,2.6,5.29,1.98,1.05,0.01,25.9,550.0,1.375,224.0,23.0,25.0,87.0,1.32,0.07,0.5,7.0,7.0,2.0,0.3,0.99,,0.02,0.05,2.5,0.14,0.2,7.0,1.0
15-749,15-749,1,951,"Curry, courgette and potato, homemade","Recipe. Punjabi dish. Courgette, potato, onion and tomato.",DR,15-486,Updated 2014,,80.9,96.0,401.0,1.8,5.9,9.6,7.7,1.8,0.8,0.9,0.1,0.0,0.0,1.2,,1.2,0.35,2.67,1.41,0.0,0.0,2.0,0.005,405.0,17.0,21.0,42.0,0.59,0.04,0.3,0.0,,0.0,0.0,,,0.12,0.01,0.3,0.23,0.0,17.0,11.0
15-774,15-774,1,952,"Curry, dudhi, kofta, homemade",Recipe. Gujerati dish. Fried dudhi balls in a tomato and onion sauce,DR,15-471,Updated 2014,,78.2,111.0,466.0,2.6,6.9,9.3,,,,,,0.0,,,,,1.87,3.01,1.48,0.06,6.6,4.0,0.01,196.0,27.0,15.0,37.0,0.79,0.1,0.5,,,25.0,0.0,,,0.1,0.03,0.5,0.14,0.0,12.0,4.0
15-750,15-750,1,953,"Curry, egg and potato, homemade","Recipe. Egg, potato and tomato",DR,15-474,Updated 2014,,74.0,138.0,576.0,7.5,9.3,6.5,4.6,1.5,0.6,0.5,0.4,0.0,,0.7,1.1,1.1,1.58,4.49,2.1,0.0,165.1,83.0,0.2075,280.0,43.0,19.0,117.0,1.79,0.08,0.8,12.0,27.0,55.0,1.5,1.91,,0.1,0.23,0.3,0.19,0.9,18.0,4.0
